Название,Ссылка,Rss,Selector,Кодировка,Рекамендованно
Пятый канал,https://www.5-tv.ru,https://www.5-tv.ru/news/rss/,,,
lostfilm.tv,http://www.lostfilm.tv,http://www.lostfilm.tv/rss.xml,,,1
kg-portal.ru - все новости,https://kg-portal.ru,https://kg-portal.ru/rss/news_all.rss,,,
fishki.net,https://fishki.net,https://fishki.net/rss/,,,
prokino,http://prokino.org,http://prokino.org/rss.xml,,,
film.ru,https://www.film.ru,https://www.film.ru/export/news.rss,,,
Мир фантастики,https://www.mirf.ru,https://www.mirf.ru/feed,,,
Популярная механика,https://www.popmech.ru,https://www.popmech.ru/out/public-all.xml,,,
Дилетант,https://diletant.media,https://diletant.media/rss/,,,
N+1,https://nplus1.ru,https://nplus1.ru/rss,,,
ПостНаука,https://postnauka.ru,https://postnauka.ru/feed,,,
Элементы - биология,http://elementy.ru,http://elementy.ru/rss/news,,,
Космос,https://kosmos-x.net.ru,https://kosmos-x.net.ru/news/rss/,,,
archi.ru - архетектура,https://archi.ru,https://archi.ru/rss.xml,,,
tourdom.ru,https://www.tourdom.ru,https://www.tourdom.ru/rss/,,,
risk.ru - путешествия,https://www.risk.ru,https://www.risk.ru/rss,,,
travelask,http://travelask.ru,http://travelask.ru/blog/posts/feed.rss,,,
Лайфхакер,https://lifehacker.ru,https://lifehacker.ru/feed/,,,
Туристер,https://www.tourister.ru,https://www.tourister.ru/responses/rss,,,
mountain.ru,http://www.mountain.ru,http://www.mountain.ru/rss/,,,
sports.ru - все материалы (но не новости) сайта,https://www.sports.ru,https://www.sports.ru/rss/main.xml,,,1
sports.ru - все новости (но не материалы) сайта,https://www.sports.ru,https://www.sports.ru/rss/all_news.xml,,,
sports.ru – все новости футбола,https://www.sports.ru,https://www.sports.ru/rss/rubric.xml?s=208,,,
sports.ru – все новости, материалы и записи в блогах по теме Зенит,https://www.sports.ru,https://www.sports.ru/rss/tags.xml?id=1044514,,,
sports.ru – блог Василия Уткина,https://www.sports.ru,https://www.sports.ru//tribuna/blogs/utkin/rss.xml,,,
sports.ru – конференция Василия Уткина,https://www.sports.ru,https://www.sports.ru/rss/conference/338597.xml,,,
sport-express.ru - все новсти,https://www.sport-express.ru,https://www.sport-express.ru/services/materials/news/se/,,,
Футбол на куличках - ФНК,http://football.kulichki.net,http://football.kulichki.net/news.rss,,,
fanat1k.ru,http://fanat1k.ru,http://fanat1k.ru/rss.php,,,
Футбол России,https://www.rusfootball.info,https://www.rusfootball.info/rss.xml,,,1
allboxing,http://allboxing.ru,http://allboxing.ru/atom.xml,,,
Евро футбол,https://www.euro-football.ru,https://www.euro-football.ru/category/rss/,,,
Спорт ФМ,https://sportfm.ru,https://sportfm.ru/xml_output/yandex.php,,,
Российская премьер-лига - РПЛ,https://premierliga.ru,https://premierliga.ru/news/rfpl/news.rss,,,1
Спорт день за днем,https://www.sportsdaily.ru,https://www.sportsdaily.ru/news.rss,,,
Все новсти зенита,https://fc-zenit.ru,https://fc-zenit.ru/rss/allnews.rss,,,
Мир формулы - 1,https://www.f1-world.ru,https://www.f1-world.ru/news/rssexp6.xml,,,1
allhockey,https://allhockey.ru,https://allhockey.ru/rss.xml,,,
soccernews,https://soccernews.ru,https://soccernews.ru/rss,,,
soccer365.ru,http://soccer365.ru,http://st1.soccer365.ru/s1/news.xml,,,
news.tut.by,https://news.tut.by,https://news.tut.by/rss/sport/all.rss,,,
football.ua,http://football.ua,http://football.ua/rss2.ashx,,,
Сделай своими руками,https://sdelaysam-svoimirukami.ru,https://sdelaysam-svoimirukami.ru/rss.xml,,,1
Охотники РУ,https://www.ohotniki.ru,https://www.ohotniki.ru/rss/index.xml,,,1
Страна мастеров,http://stranamasterov.ru,http://stranamasterov.ru/news/feed,,,1
babiki куклы,https://babiki.ru,https://babiki.ru/rss/allcomments/,,,
Яплакалъ,https://www.yaplakal.com,https://www.yaplakal.com/news.xml,,,1
Триникси,https://trinixy.ru/engine,https://trinixy.ru/engine/rss.php,,,
Фактрум - юмор,https://www.factroom.ru,https://www.factroom.ru/feed,,,1
pressa.tv,https://pressa.tv,https://pressa.tv/rss.xml,,,
korzik.net- юмор,https://korzik.net,https://korzik.net/rss.xml,,,
