Название,Ссылка,Rss,Selector,Кодировка,Рекамендованно
Ведомости Авто - Автомобильная промышленность,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/auto/auto_industry,,,
Ведомости Авто - Легковые автомобили,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/auto/cars,,,
Ведомости Авто - Коммерческие автомобили,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/auto/commercial_vehicles,,,
Ведомости Авто - Дизайн и технологии,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/auto/car_design,,,
Ведомости Авто - Тест-драйвы,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/auto/test_drive,,,
Ведомости Менеджмент,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/management,,,
Ведомости Менеджмент - Карьера,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/management/career,,,
Ведомости Менеджмент - Управление,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/management/management,,,
Ведомости Менеджмент - Зарплаты и занятость,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/management/compensation,,,
Ведомости Менеджмент - Предпринимательство,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/management/entrepreneurship,,,
Ведомости Менеджмент - Бизнес-образование,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/management/education,,,
Ведомости Стиль жизни,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/lifestyle,,,
Ведомости Стиль жизни - Досуг,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/lifestyle/leisure,,,
Ведомости Стиль жизни - Культура,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/lifestyle/culture,,,
Ведомости Стиль жизни - Люкс,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/lifestyle/luxury,,,
Ведомости Стиль жизни - Интервью,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/lifestyle/interview,,,
Ведомости Стиль жизни - Линии жизни,https://www.vedomosti.ru,https://www.vedomosti.ru/rss/rubric/lifestyle/lifeline,,,
NewsRu Главняе новости,https://www.newsru.com,https://rss.newsru.com/top/big/,,,
NewsRu Важные новости,https://www.newsru.com,https://rss.newsru.com/top/main/,,,
NewsRu В России,https://www.newsru.com,https://rss.newsru.com/russia/,,,
NewsRu В мире,https://www.newsru.com,https://rss.newsru.com/world/,,,
NewsRu Экономика,https://www.newsru.com,https://rss.newsru.com/finance/,,,
NewsRu Религия и общество,https://www.newsru.com,https://rss.newsru.com/religy/,,,
NewsRu Криминал,https://www.newsru.com,https://rss.newsru.com/crime/,,,
NewsRu Спорт,https://www.newsru.com,https://rss.newsru.com/sport/,,,
NewsRu Культура,https://www.newsru.com,https://rss.newsru.com/cinema/,,,
Риа Новости Политика,https://ria.ru,http://ria.ru/export/rss2/politics/index.xml,,,
Риа Новости В мире,https://ria.ru,http://ria.ru/export/rss2/world/index.xml,,,
Риа Новости Экономика,https://ria.ru,http://ria.ru/export/rss2/economy/index.xml,,,
Риа Новости Общество,https://ria.ru,http://ria.ru/export/rss2/society/index.xml,,,
Риа Новости Образование,https://ria.ru,http://ria.ru/export/rss2/education/index.xml,,,
Риа Новости Москва,https://ria.ru,http://ria.ru/export/rss2/moscow/index.xml,,,
Риа Новости Спорт,https://ria.ru,http://sport.ria.ru/export/rss2/sport/index.xml,,,
